rc: 0
Subscribed: 1 (0,)
MQTTExample/LED 0 x: 0.054144, y: 2.092834, orientation: 223.088913
MQTTExample/LED 0 x: 0.054144, y: 2.092834, orientation: 223.086624
MQTTExample/LED 0 x: 0.054144, y: 2.092834, orientation: 223.086594
MQTTExample/LED 0 x: 0.054144, y: 2.092834, orientation: 223.085434
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 223.090363
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 223.089767
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 222.454620
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 222.466125
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 222.463455
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 222.467194
MQTTExample/LED 0 x: 0.012213, y: 1.881326, orientation: 222.466507
MQTTExample/LED 0 x: 0.155675, y: 1.552993, orientation: 222.026718
MQTTExample/LED 0 x: 0.155675, y: 1.552993, orientation: 222.021729
MQTTExample/LED 0 x: 0.155675, y: 1.552993, orientation: 222.024155
MQTTExample/LED 0 x: 0.155675, y: 1.552993, orientation: 222.021912
MQTTExample/LED 0 x: -0.050875, y: 1.777956, orientation: 222.007874
MQTTExample/LED 0 x: -0.050875, y: 1.777956, orientation: 222.099670
MQTTExample/LED 0 x: -0.035343, y: 1.574620, orientation: 222.106201
MQTTExample/LED 0 x: 0.034050, y: 1.363398, orientation: 222.109146
MQTTExample/LED 0 x: 0.034050, y: 1.363398, orientation: 222.115417
MQTTExample/LED 0 x: 0.034050, y: 1.363398, orientation: 222.120087
MQTTExample/LED 0 x: 0.034050, y: 1.363398, orientation: 222.334366
MQTTExample/LED 0 x: 0.034050, y: 1.363398, orientation: 222.329910
MQTTExample/LED 0 x: 0.034050, y: 1.363398, orientation: 222.322296
MQTTExample/LED 0 x: -0.125746, y: 1.535907, orientation: 222.315399
MQTTExample/LED 0 x: -0.003644, y: 1.255181, orientation: 222.318558
MQTTExample/LED 0 x: -0.037014, y: 1.550809, orientation: 222.613373
MQTTExample/LED 0 x: -0.119047, y: 1.833779, orientation: 222.610092
MQTTExample/LED 0 x: -0.119047, y: 1.833779, orientation: 222.601532
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.612732
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.606537
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.741913
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.740479
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.744278
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.741409
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.732391
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.739426
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.745285
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.746231
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.740723
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.736023
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.804398
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.798111
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.796951
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.792496
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.794067
MQTTExample/LED 0 x: -0.164087, y: 2.088971, orientation: 222.998840
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.000839
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.006638
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.010590
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.005020
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.109238
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.102951
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.101715
MQTTExample/LED 0 x: 0.068661, y: 1.995760, orientation: 223.099869
MQTTExample/LED 0 x: -0.039080, y: 2.204215, orientation: 223.099228
MQTTExample/LED 0 x: -0.039080, y: 2.204215, orientation: 222.995270
MQTTExample/LED 0 x: -0.039080, y: 2.204215, orientation: 222.995575
MQTTExample/LED 0 x: -0.039080, y: 2.204215, orientation: 222.993011
MQTTExample/LED 0 x: 0.175682, y: 2.162886, orientation: 222.998199
MQTTExample/LED 0 x: 0.175682, y: 2.162886, orientation: 222.994263
MQTTExample/LED 0 x: 0.461504, y: 2.117915, orientation: 222.907455
MQTTExample/LED 0 x: 0.461504, y: 2.117915, orientation: 222.909149
MQTTExample/LED 0 x: 0.461504, y: 2.117915, orientation: 222.919281
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.918167
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.914673
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.910965
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.882660
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.882919
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.880081
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.872803
MQTTExample/LED 0 x: 0.265145, y: 1.992832, orientation: 222.867996
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.828278
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.824310
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.822342
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.819656
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.826126
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.680420
MQTTExample/LED 0 x: 0.064342, y: 1.914928, orientation: 222.675827
