x: 3.935714, y: 4.896952, orientation: 18.742878
x: 4.017708, y: 5.199794, orientation: 18.749817
x: 4.017708, y: 5.199794, orientation: 18.710201
x: 4.079203, y: 5.426926, orientation: 18.713732
x: 4.079203, y: 5.426926, orientation: 18.718090
x: 4.079203, y: 5.426926, orientation: 18.724710
x: 4.079203, y: 5.426926, orientation: 18.726810
x: 4.079203, y: 5.426926, orientation: 18.703382
x: 4.079203, y: 5.426926, orientation: 18.706213
x: 4.079203, y: 5.426926, orientation: 18.712337
x: 4.079203, y: 5.426926, orientation: 18.718702
x: 4.079203, y: 5.426926, orientation: 18.724785
x: 4.079203, y: 5.426926, orientation: 18.738581
x: 4.079203, y: 5.426926, orientation: 18.748913
x: 4.079203, y: 5.426926, orientation: 18.760241
x: 4.079203, y: 5.426926, orientation: 18.769375
x: 4.079203, y: 5.426926, orientation: 18.779940
x: 4.079203, y: 5.426926, orientation: 18.788700
x: 4.079203, y: 5.426926, orientation: 18.763836
x: 4.079203, y: 5.426926, orientation: 18.774080
x: 4.079203, y: 5.426926, orientation: 18.782240
x: 4.079203, y: 5.426926, orientation: 18.791338
x: 4.079203, y: 5.426926, orientation: 18.804106
x: 4.079203, y: 5.426926, orientation: 18.690416
x: 4.079203, y: 5.426926, orientation: 18.700251
x: 4.079203, y: 5.426926, orientation: 18.708344
x: 4.079203, y: 5.426926, orientation: 18.721373
x: 4.079203, y: 5.426926, orientation: 18.733372
x: 4.079203, y: 5.426926, orientation: 18.642027
x: 4.079203, y: 5.426926, orientation: 18.649366
x: 4.079203, y: 5.426926, orientation: 18.658876
x: 4.079203, y: 5.426926, orientation: 18.667816
x: 4.079203, y: 5.426926, orientation: 18.683062
x: 4.079203, y: 5.426926, orientation: 18.649181
x: 4.079203, y: 5.426926, orientation: 18.658400
x: 4.079203, y: 5.426926, orientation: 18.667379
x: 4.079203, y: 5.426926, orientation: 18.675133
x: 4.079203, y: 5.426926, orientation: 18.686754
x: 4.079203, y: 5.426926, orientation: 18.684725
x: 4.079203, y: 5.426926, orientation: 18.692295
x: 4.079203, y: 5.426926, orientation: 20.757038
x: 4.079203, y: 5.426926, orientation: 25.812401
x: 4.079203, y: 5.426926, orientation: 17.882051
x: 4.079203, y: 5.426926, orientation: 5.167174
x: 4.079203, y: 5.426926, orientation: 4.587950
x: 4.079203, y: 5.426926, orientation: 6.197978
x: 4.175770, y: 5.659872, orientation: 17.594959
x: 4.175770, y: 5.659872, orientation: 22.823961
x: 4.175770, y: 5.659872, orientation: 24.674433
